"","g__Turicibacter","g__Parabacteroides","g__[Ruminococcus]","g__Sutterella","f__Peptostreptococcaceae_g__","g__Ruminococcus","g__Veillonella","g__Bacteroides","g__Eggerthella","g__Faecalibacterium","g__Coprococcus","f__Lachnospiraceae_g__","g__Neisseria","g__Haemophilus","g__Blautia","f__Enterobacteriaceae_g__","g__Klebsiella","g__Dorea","g__Dialister","g__Anaerostipes","g__Phascolarctobacterium","g__Staphylococcus","g__Actinomyces","f__Gemellaceae_g__","g__Akkermansia","g__Oscillospira","o__Lactobacillales_g__","g__Adlercreutzia","g__Odoribacter","f__Clostridiaceae_g__","g__Prevotella","g__Roseburia","g__Lachnospira","o__Clostridiales_g__","g__Granulicatella","f__Erysipelotrichaceae_g__","f__Ruminococcaceae_g__","g__Clostridium","g__Streptococcus","g__Aggregatibacter","g__Fusobacterium","g__Conchiformibius","g__Bifidobacterium","g__Collinsella","g__Holdemania","g__[Eubacterium]","f__Rikenellaceae_g__","g__Bilophila"
"1939.SKBTI.0175",0,1190,2257,31711,3,24,547,102805,159,132164,40,16007,0,16417,37,37583,17,6009,3071,0,1,0,14,34,11,1755,5,0,0,224,5,199,15,710,0,3491,4647,498,103,4721,6587,1349,208,1,5,46,6,6151
"1939.SKBTI.1068",0,16,1912,22,31,6,10,12630,32,3871,604,4177,0,33,1028,1520,0,74,4,13,0,0,1,3,0,162,0,0,5,4,1,13,53,1860,1,2487,1493,6,18,1,13,1,1940,0,37,95,8,1
"1939.SKBTI047",2,151,867,141,0,4,85,26710,1,1996,71,1559,73,181,232,29508,7,124,5,0,6,56,38,50,150,36,0,1,1,100,14,167,35,514,17,1117,391,0,124,14,60,45,101,2,1,41,70,7
"1939.SKBTI051",0,47,369,845,325,0,2,1028,0,220,11,178,0,83,4,624,0,52,0,0,0,135,0,19,1,0,0,0,0,87,0,0,0,3,0,395,78,120,42,1,0,0,0,0,0,0,0,0
"1939.SKBTI063",0,17,2829,37,1,0,438,21094,182,7115,54,4519,20,1680,36,2865,15,224,2167,1,268,46,48,73,7,32,0,0,23,0,3,13,0,637,39,499,1011,0,55,3,696,0,24,147,0,39,102,0
"1939.SKBTI072",0,6607,278,1919,0,8,173,7447,61,2045,0,1337,40,19,23,3668,1,4,1,0,14,0,3,1,5,5,0,0,0,1,3,2,1,20,4,0,481,0,28,4,8,0,343,1,0,349,5,427
"1939.SKBTI.0160",0,203,505,16,55,65,386,13422,0,3049,214,1660,0,637,274,9,0,91,49,13,0,5,1,7,2,63,1,2,2,16,3,38,5,498,2,76,1176,0,29,10,290,6,107,73,1,4,0,364
"1939.SKBTI.0201",0,1347,9105,12,66,67,541,40839,17,1308,526,11026,0,450,882,368,1,257,1,1,811,11,3,41,0,47,0,0,1,109,3,1176,154,3650,57,996,1700,0,234,1,25,2,0,0,55,532,6,0
"1939.SKBTI.0220",0,66,111,2,0,1,20,11822,10,1346,16,744,0,21,34,34,0,8,1,0,3,84,2,8,1,29,0,0,3,0,0,12,0,27,5,112,76,1,263,1,15,1,14,0,5,44,61,38
"1939.SKBTI.0245.b",0,33,571,1,287,0,17,7197,0,13,27,1140,0,10,34,4702,17,382,3,0,46,19,2,4,0,1,0,0,2,82,2,4,21,23,25,53,194,0,64,0,12,0,0,0,0,0,0,0
"1939.SKBTI.0264.b",0,6,136,69,0,1,5,8097,13,258,19,557,0,47,257,18,0,46,14,0,0,13,1,2,0,135,0,0,0,0,0,109,1,67,0,131,195,0,17,0,7,0,1,0,15,4,531,63
"1939.SKBTI089.a",0,101,498,81,83,47,32,2422,7,981,235,785,1,16,214,55,40,61,63,0,0,3,0,0,0,19,4,0,2,27,2,206,3,570,0,355,302,0,12,0,5,0,35,0,0,12,44,29
"1939.SKBTI.0141.a",0,338,521,3364,0,96,13,25639,1,8232,268,2372,0,279,332,5867,1,213,1,0,38,39,0,0,425,162,1,0,37,17,287,408,238,433,0,250,719,1,126,13,70,37,184,194,66,105,207,207
"1939.SKBTI040",0,32,70,38,273,0,8,6943,3,65,0,658,22,21,3,43,0,10,8,3,0,168,4,1,5,0,0,0,0,0,25,20,0,26,1,8,32,0,11,3,5,0,20,4,0,1,10,1
"1939.SKBTI.0132",0,573,100,2467,7,332,5,3552,0,1670,128,635,0,1448,58,7627,2,57,2074,9,0,2,1,139,1,12,121,1,2,1,41,121,240,130,37,423,759,1,126,3,2,5,1173,58,0,0,59,48
"1939.SKBTI.0137",11,2620,4233,23,41,84,98,38282,20,578,1358,8004,1,77,2276,1972,34,393,638,24,1,23,0,2,5,440,7,0,8,3,11,6890,5,6539,0,3065,882,27,38,53,46,4,40,421,19,15,556,3234
"1939.100087",1,5,2273,3823,135,59,53,31,28,9873,469,10349,4,270,3300,279,0,1105,3,126,0,4,3,12,0,1206,2,0,0,53,0,3522,480,883,2,5643,1340,1310,52,18,50,1,64,0,118,383,2,0
"1939.100163",1,543,4517,5925,37,219,0,3529,149,819,1709,8860,0,2,10916,2429,0,2657,1,0,998,0,8,1,0,34,5,0,0,11,1,11,1,3767,5,11658,2517,0,233,4,0,0,370,2,27,1000,96,468
"1939.MGH101666",0,761,324,70,0,90,2,3443,0,887,54,592,2,223,94,390,0,115,0,10,0,0,0,0,0,63,0,0,31,0,419,74,0,121,2,101,138,3,27,5,7,2,1,0,4,1,51,25
"1939.121457",0,0,4703,0,1344,55,6,10,2,21086,43,8593,0,42,647,2,0,955,7,0,1,0,1,0,0,176,4,0,0,0,0,11666,2845,395,2,180,928,9,9,0,0,0,277,1,68,354,0,0
"1939.121199",4,1,10484,0,16,51,36,3319,146,0,26,5892,0,1,8020,669,1,642,4,0,1,0,18,11,0,75,72,0,0,1,0,4360,0,4268,32,563,230,0,305,0,59,0,2,0,0,40,1,0
"1939.121420",0,2,2666,0,505,1,686,370,0,0,0,16,0,1,4,7813,4,1381,1,0,0,0,1,0,0,0,4,0,0,102,0,3,1,3,0,216,3,51,64,0,0,0,0,30,0,0,1,0
"1939.SKBTI034",0,1484,8385,9096,7,117,68,34713,63,90,2,118,83,79,7,6962,1005,25,6,1,2,17,6,22,10,1337,89,0,23,8,15,7,1,24,14,4269,10110,75,103,5,32,0,0,0,0,2108,21,4
"1939.SKBTI.1251",0,1544,201,595,13,22,13,20079,9,4157,557,4970,0,6,267,231,0,340,0,0,0,0,0,0,1,135,0,0,204,18,1,403,27,419,1,166,1197,17,24,0,0,0,126,11,12,5,1164,24
"1939.SKBTI.1200",0,4,292,1749,66,668,0,19366,11,127,11,2669,0,2,229,17,0,1,624,0,2,0,0,0,0,342,2,0,0,8,0,1222,0,1174,0,67,1549,30,0,0,10,0,13,0,88,48,5,1
"1939.100160",0,1,264,1,0,3,0,14,0,3,1,15,0,1,5,3,1,0,0,0,0,9051,1,0,1,1,1752,0,0,0,0,1,0,3,2,207,5,1,65,0,0,0,22716,0,0,1,1,1
"1939.100074",0,922,715,3,11,4452,2,3638,210,3567,1000,3879,0,0,3362,1606,0,282,2,1,3,0,5,0,19196,103,14,2,38,3,2,1117,7,3071,0,1274,504,0,12,0,0,0,4,1122,30,134,7,1
"1939.SKBTI.0546",0,193,49,32,3,13,0,9733,1,1580,20,560,0,2,69,985,0,23,0,0,0,0,0,0,0,185,0,0,0,0,0,397,11,305,0,36,323,0,12,0,15,3,12,0,1,1,354,41
"1939.SKBTI.0621",0,1,990,0,27,9,75,4462,5,5358,19,523,0,60,48,240,0,560,0,0,0,1,2,2,0,152,0,0,0,376,0,99,0,1911,3,458,303,0,9,0,129,12,69,0,0,127,0,0
"1939.SKBTI.0624",0,207,152,31,2,0,22,2889,2,542,5,910,0,39,56,3,0,8,27,0,0,0,2,3,0,6,0,0,0,0,0,223,0,443,23,321,128,0,27,0,0,0,11,0,0,13,0,60
"1939.SKBTI.0629",0,35,73,297,0,9,5,4649,0,1307,12,549,0,0,258,47,0,23,91,1,2,12,2,0,0,66,0,0,73,3,5,1,22,223,0,36,606,2,2,1,0,0,8,3,8,5,353,36
"1939.SKBTI.0636",0,2717,862,2968,120,19,102,13841,11,4224,211,2500,1,3817,296,520,0,115,1952,0,1,2,10,5,1,129,0,6,1,26,0,449,94,3156,36,772,2374,9,104,254,31,0,101,0,204,101,973,562
"1939.SKBTI.0715",0,46,22,0,0,0,0,432,0,9,0,30,0,2,2,6,0,2,2,0,0,0,0,0,0,1,2,0,0,4,0,0,0,5,0,3,4,2,1,0,0,0,2,3,0,2,0,0
"1939.SKBTI.0716",3,1835,597,5,0,357,19,8798,0,6054,314,2498,0,282,466,59,0,135,4,16,0,2,2,4,819,354,2,2,112,19,23,11,55,1235,0,501,4681,28,15,7,0,0,5,59,67,11,1196,548
"1939.121982",2,932,2131,962,0,174,7,13277,76,525,313,3668,0,4,1857,1,0,424,6,2,0,0,0,0,1,970,1,84,129,3,1,3,431,164,3,560,688,0,60,0,1,0,6,4,103,174,0,0
"1939.122115.b",0,348,179,1418,156,76,5,2405,0,1570,168,738,0,41,470,38,0,138,1417,0,236,0,0,2,0,420,1,0,0,252,5201,287,67,148,0,195,1599,17,103,18,2,2,182,0,15,4,0,0
"1939.SKBTI045",0,1772,3034,3453,3,234,78,20447,6,5264,349,4027,99,6858,182,5376,0,162,2660,2,1,13,5,31,2,438,0,2,488,3,5,46,1,1019,36,236,1171,0,340,1422,111,21,134,111,10,22,2223,116
"1939.SKBTI.0961",0,0,63,11,0,9,3,226,12,97,41,89,0,7822,43,16920,0,27,1,0,0,5,6,21,0,0,0,0,0,3,0,2,0,68,4,28,23,0,321,880,25,2,22,0,0,0,5,0
"1939.SKBTI016",0,12,8,53,1,0,11,360,0,182,0,62,10,58,7,30151,0,0,1,0,0,3,3,7,2,0,0,0,1,0,3,18,0,16,30,14,44,0,76,1,4,0,0,0,0,0,3,1
"1939.SKBTI.0483",0,0,5,0,0,0,4,1245,0,6,3,4,0,11214,0,62,0,0,12,0,0,5,36,12,0,0,0,0,0,0,1,0,0,2,6,1,3,8,167,926,2,3,3,0,0,1,0,0
"1939.SKBTI.0484",1,44,170,83,88,5,5,3658,1,159,237,768,8,2226,234,3017,31,95,0,0,6,0,0,1,0,14,0,0,4,18,1,181,284,225,0,203,16,1,21,0,74,0,1,0,0,20,60,28
"1939.SKBTI.0492",0,0,74,367,232,0,6,1171,0,253,6,138,0,1327,5,1062,7,8,0,0,0,0,0,0,0,0,0,0,0,33,0,18,0,1,0,25,48,144,16,24,0,0,4,0,0,0,0,0
"1939.SKBTI.0503",0,461,433,1352,11,27,104,5605,3,1587,10,787,2,1020,79,431,0,12,182,0,128,3,38,145,0,75,0,0,0,1,0,135,0,327,237,174,80,5,670,133,32,0,5,1,0,8,1,0
"1939.SKBTI.0566",0,21,352,329,1,4,107,2595,0,149,7,50,0,262,0,4498,0,6,9,0,0,6,16,1,0,1,0,0,0,55,0,32,0,34,3,124,45,74,95,0,64,0,2,0,7,20,7,19
"1939.SKBTI.0499",0,7,1,48,0,0,36,4965,0,9,0,5,0,948,0,19796,1,0,0,0,0,0,0,14,0,0,0,0,2,0,4,0,0,3,33,9,188,0,75,26,217,12,0,0,0,0,1,165
"1939.SKBTI.0549",0,1038,184,1854,235,357,24,4247,0,7288,414,1481,0,27,281,907,5,188,3753,11,25,1,1,11,0,291,0,6,108,18,11592,1491,440,989,2,29,1405,10,70,19,0,2,74,16,32,0,1136,214
"1939.SKBTI.0489",0,0,991,6,63,1,320,22,0,14,56,832,0,47,31,9800,0,441,13,0,155,0,4,1,0,2,28,0,0,78,0,1146,43,1580,0,895,285,239,22,0,200,0,0,0,2,195,1,0
"1939.SKBTI.0523",0,46,13,4,8,0,95,14361,2,3441,3,163,0,2743,2,13433,0,1,216,0,0,0,4,4,1,24,0,0,0,3,1,1,0,4,33,23,147,0,67,33,33,0,1,0,0,0,0,41
"1939.SKBTI.0567",0,1048,290,912,9,127,0,14097,3,2527,618,2664,3,319,170,4407,0,41,2447,0,238,3,0,3,0,1493,0,0,3575,5,4,1089,11,1800,0,60,2529,18,27,3116,26,3,44,12,95,87,5744,2095
"1939.SKBTI.0517",0,134,116,405,5,19,1,2357,0,2684,25,613,3,19,124,28,0,29,44,0,1,5,0,11,0,31,0,0,13,2,1,61,0,208,3,73,149,0,40,0,25,0,1,8,3,0,69,41
"1939.SKBTI.0527",0,61,104,22,2,3,192,1605,0,351,8,147,0,158,3,3986,0,40,19,0,0,0,19,44,0,0,0,0,0,0,0,0,13,36,22,32,47,0,245,12,463,17,0,0,0,0,0,0
"1939.SKBTI.0534",0,408,1634,485,94,0,528,15747,2,3945,152,696,6,422,48,5300,0,0,0,0,279,0,0,6,0,1,0,0,4,19,0,406,170,887,0,500,346,1,35,23,165,7,133,0,0,12,5,95
"1939.SKBTI.0536",0,2,298,716,2,14,65,7317,1,1128,1,1275,2,278,23,4591,0,31,4,0,0,3,5,21,0,74,0,0,0,0,3,92,0,376,6,17,324,0,50,17,14,0,34,0,0,0,6,0
"1939.SKBTI.0568",0,4,2132,1,311,1,199,23,0,4,1,10113,5,1857,66,4098,223,1449,0,0,751,0,13,8,0,499,0,0,2,54,3,27,0,7887,53,1418,980,0,231,71,472,4,0,0,0,1679,1,0
"1939.SKBTI.0551",0,1393,445,4672,0,14,33,21817,0,1891,109,2177,0,48,64,142,0,193,0,0,0,0,1,0,0,1399,0,0,295,3,1,11,5,630,0,313,715,0,20,7,27,0,1,19,68,3,880,712
"1939.SKBTI.0578",0,0,4,0,0,0,73,2430,0,108,3,5,9,3089,1,4132,0,6,4,0,0,11,1,0,0,0,0,0,0,0,0,0,0,2,7,0,17,0,72,47,86,2,0,0,0,5,0,41
"1939.SKBTI.0585",0,786,582,4290,6,24,31,12872,0,3332,25,436,0,185,62,1932,0,125,42,0,0,28,1,2,0,240,0,0,0,1,0,0,3,147,3,130,326,1,6,48,66,0,0,13,1,0,1145,395
"1939.SKBTI.0603",0,2063,2850,2387,0,14,118,29655,7,10110,137,9475,23,518,329,169,128,1833,0,0,0,0,1,25,0,243,0,0,0,0,1,13,0,1308,51,392,784,0,102,0,830,0,102,433,39,159,87,4
"1939.SKBTI.0555",3,274,63,171,63,43,5,2551,0,713,22,344,4,2010,194,31,0,20,0,1,30,0,0,8,0,79,0,3,28,8,0,392,49,465,1,124,224,2,24,67,3,0,69,11,4,2,173,64
"1939.SKBTI.0591",0,481,633,633,45,96,30,8393,0,1554,27,1139,2,40,100,9076,0,33,2,0,23,0,1,10,2,16,0,0,26,27,0,41,0,542,4,330,358,0,49,10,73,0,7,0,12,20,110,0
"1939.SKBTI.0552",0,408,232,1397,12,1,3,3075,0,45,3,116,0,4,83,8577,0,21,7,0,0,3,0,0,1,8,0,0,1,792,17,2,2,20,3,311,17,0,3,0,0,0,2,2,0,4,0,0
"1939.SKBTI.0541",0,321,659,949,0,10,97,6113,2,2445,17,1164,0,2826,15,13,0,404,312,0,0,1,51,18,0,74,0,0,14,0,230,12,0,37,14,174,253,0,193,20,48,49,40,107,3,6,47,134
"1939.SKBTI.0522",0,490,2277,9654,63,29,372,26345,13,17300,329,6294,27,3047,9,1068,0,265,2599,0,107,0,0,153,0,89,0,0,13,10,2,81,0,2508,19,1275,3884,0,53,11,11579,49,69,170,0,0,14,2433
"1939.SKBTI.0606",0,1,12,2,0,1,26,1039,0,2,0,10,0,92,0,3617,15,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,21,0,27,43,150,3,0,0,0,0,0,0
"1939.SKBTI.0560",0,101,47,1166,160,8,9,807,0,229,0,121,0,2122,10,14,0,18,0,0,3,0,17,0,0,4,0,0,3,60,0,37,0,31,0,83,29,17,26,753,0,5,0,0,0,1,5,0
"1939.SKBTI.0564",0,65,121,42,0,9,2,2038,0,402,23,876,0,20,22,4011,0,23,10,0,15,3,6,1,0,21,0,0,2,0,0,34,0,91,0,153,74,0,20,3,6,0,0,0,0,6,37,0
"1939.SKBTI.0579",0,275,86,884,0,3,62,7804,0,243,0,496,2,1060,0,0,0,11,1,0,75,24,1,0,0,7,0,0,21,0,1,0,0,9,3,0,13,0,13,7,1861,0,10,0,0,0,15,58
"1939.SKBTI.0580",11,3,1292,3,172,21,46,59,6,3,0,561,0,2099,345,5634,0,262,130,0,0,24,1,1,0,342,2,0,0,28,1,1,0,0,0,183,80,0,42,75,24,2,146,0,2,177,5,0
"1939.SKBTI.0596",0,0,997,10,1,1,6,18295,4,5957,112,1274,0,7,33,1480,1,84,58,0,0,0,3,0,0,16,0,0,0,0,1,52,0,238,4,500,253,1,8,0,77,25,121,63,0,3,0,0
