"","Methanobrevibacter_smithii","Rothia_mucilaginosa","Bifidobacterium_adolescentis","Bifidobacterium_animalis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_catenulatum","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Adlercreutzia_equolifaciens","Collinsella_aerofaciens","Eggerthella_lenta","Eggerthella_unclassified","Gordonibacter_pamelaeae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_massiliensis","Bacteroides_ovatus","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bacteroidales_bacterium_ph8","Barnesiella_intestinihominis","Odoribacter_splanchnicus","Parabacteroides_distasonis","Parabacteroides_merdae","Parabacteroides_unclassified","Paraprevotella_clara","Paraprevotella_unclassified","Prevotella_copri","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_shahii","Alistipes_unclassified","Enterococcus_faecalis","Enterococcus_faecium","Lactobacillus_casei_paracasei","Lactobacillus_fermentum","Lactobacillus_gasseri","Lactobacillus_rhamnosus","Pediococcus_acidilactici","Pediococcus_unclassified","Leuconostoc_citreum","Lactococcus_lactis","Streptococcus_australis","Streptococcus_mutans","Streptococcus_parasanguinis","Streptococcus_salivarius","Streptococcus_sanguinis","Streptococcus_thermophilus","Streptococcus_vestibularis","Butyricicoccus_pullicaecorum","Clostridiaceae_bacterium_JC118","Clostridium_asparagiforme","Clostridium_bolteae","Clostridium_clostridioforme","Clostridium_hathewayi","Clostridium_leptum","Clostridium_nexile","Clostridium_perfringens","Clostridium_scindens","Clostridium_symbiosum","Clostridiales_bacterium_1_7_47FAA","Flavonifractor_plautii","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_sp_3_1_31","Eubacterium_ventriosum","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerostipes_unclassified","Blautia_hansenii","Blautia_hydrogenotrophica","Blautia_producta","Ruminococcus_gnavus","Ruminococcus_obeum","Ruminococcus_torques","Coprococcus_catus","Coprococcus_comes","Dorea_formicigenerans","Dorea_longicatena","Dorea_unclassified","Lachnospiraceae_bacterium_1_1_57FAA","Lachnospiraceae_bacterium_1_4_56FAA","Lachnospiraceae_bacterium_2_1_58FAA","Lachnospiraceae_bacterium_3_1_46FAA","Lachnospiraceae_bacterium_3_1_57FAA_CT1","Lachnospiraceae_bacterium_4_1_37FAA","Lachnospiraceae_bacterium_5_1_57FAA","Lachnospiraceae_bacterium_5_1_63FAA","Lachnospiraceae_bacterium_6_1_63FAA","Lachnospiraceae_bacterium_7_1_58FAA","Lachnospiraceae_bacterium_8_1_57FAA","Lachnospiraceae_bacterium_9_1_43BFAA","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Roseburia_unclassified","Oscillibacter_sp_KLE_1745","Oscillibacter_unclassified","Clostridium_bartlettii","Peptostreptococcaceae_noname_unclassified","Anaerotruncus_colihominis","Anaerotruncus_unclassified","Faecalibacterium_prausnitzii","Ruminococcaceae_bacterium_D16","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_lactaris","Ruminococcus_sp_5_1_39BFAA","Subdoligranulum_sp_4_3_54A2FAA","Subdoligranulum_unclassified","Coprobacillus_unclassified","Clostridium_ramosum","Erysipelotrichaceae_bacterium_21_3","Erysipelotrichaceae_bacterium_2_2_44A","Erysipelotrichaceae_bacterium_3_1_53","Erysipelotrichaceae_bacterium_5_2_54FAA","Erysipelotrichaceae_bacterium_6_1_45","Eubacterium_biforme","Eubacterium_dolichum","Holdemania_filiformis","Holdemania_unclassified","Turicibacter_unclassified","Acidaminococcus_unclassified","Dialister_invisus","Megasphaera_micronuciformis","Megasphaera_unclassified","Veillonella_atypica","Veillonella_dispar","Veillonella_parvula","Veillonella_unclassified","Fusobacterium_nucleatum","Burkholderiales_bacterium_1_1_47","Parasutterella_excrementihominis","Sutterella_wadsworthensis","Bilophila_unclassified","Bilophila_wadsworthia","Citrobacter_unclassified","Escherichia_coli","Escherichia_unclassified","Klebsiella_pneumoniae","Klebsiella_unclassified","Haemophilus_parainfluenzae","Akkermansia_muciniphila"
"PRISM|7122",0,0,9.19e-05,0,0,0,0,0,4.19e-05,0,0.0099457,0,0,0.0077421,0.000532,0,0,0.336689,0,0,0,0,0,0,0,0,0,0.0001394,0,0,0,0,0,0.263068,0,0,0,0,0,0,0,0,0,0,0,4.37e-05,0,0,8.62e-05,0,0,0,0,3.21e-05,0,0,0.0021692,0.0014617,0,0.0031838,0,0,0,0.0092469,0.0183327,0.0002808,0.0056958,0.0068057,0.0010528,0,0.0002761,0.0082644,0.004574,0.004268,0,0,0,0.0003427,0,0.0030327,0,2.12e-05,0,0.0094473,0,0.0141988,0.0020042,0.0111296,0.0007975,0.0027952,0,0,0.0018759,0,0,0.0003788,0.0146055,2.34e-05,0,0.0010587,0.0005018,0.0010717,0,4.6e-06,0.0004428,0.0029821,0.0001633,0,0.0529697,0.0853113,0,0,0.0029528,0.0012421,0,0.0014929,0,0.0001741,0,0,0,0,0,0,0.0207848,0.0021139,0.0023059,1.07e-05,0.0001335,0.0009988,0,0,0,0,0.0008941,0.0006894,0,0,0.0312739,0,0,3.74e-05,0,0,6.31e-05,0,0,0,0,0,0,0.0001744,0.0002789,0,0,0,5.9e-06,0.0047847
"PRISM|7147",1.92e-05,9.4e-06,1.47e-05,1.8e-06,8e-06,0,0,0,7.38e-05,0,0.0126869,9.1e-06,0.0002104,0.0026584,0.0005071,4.58e-05,0.0031161,0,0,1.66e-05,0,0.0091857,1.05e-05,0.006758,0.0490753,0.0064735,0.0300924,0.0675154,0.0042691,0,0,0.0020278,0.0011897,1.72e-05,0.0007077,0,0,3.12e-05,5.1e-06,0,0.0255914,3.99e-05,0.0001276,0,0,0,0,8.7e-06,0,0,0,0,0,0,8.55e-05,5.46e-05,0.0019686,0.0027037,1.69e-05,6.64e-05,6.81e-05,0,4.16e-05,8.99e-05,0.0002834,0,4.22e-05,0.0001615,1.29e-05,0,0,0.0001052,0,0.0008765,0.020763,0.0035016,0.0055005,0.220046,0.000689,0.0008812,0.0033917,0,0.0029855,0,0,0.0045745,0.0001791,0.0008014,0.0135182,0.0055412,0.001867,0.0215644,0.0043679,0.0189101,0,9.16e-05,0.0004812,0.0003049,7.4e-06,0,0,0,0.0027116,0,0.000103,0.0017705,0,0.0004297,0.0212419,0.0023494,0,0,0.0021238,0.0002023,0.001876,0,0,0.0842688,0.0043927,5.31e-05,0.0385066,0.0131336,0.0636125,0,0.0448844,3.16e-05,0,4.43e-05,2.58e-05,0,6.6e-05,0,0,0,0.0004349,6.97e-05,0.0016804,7.6e-06,0.0791188,0,0,1.78e-05,0,2e-06,4.97e-05,0,0.0021445,0.0056722,0,0.0001142,0,0,7.21e-05,4.93e-05,0,3.39e-05,2.7e-05,3.26e-05
"PRISM|7150",0,0,0.0403279,1.91e-05,2.99e-05,4.3e-06,0.0001758,0,0.100955,0.0058155,0.0130885,3.16e-05,0.0030249,0.0346816,0.0106071,3.71e-05,7e-06,0.0001018,0,7.3e-06,1.17e-05,0.0184412,2.63e-05,0.0375723,7.58e-05,1.26e-05,0.0924908,0.0257563,0,3.1e-06,5.7e-06,0,3.45e-05,6.54e-05,0,0,0,5.46e-05,0.110834,0,0.0251561,8.63e-05,5.9e-06,0.0793623,0,0,0,0,0,0.0002723,0,0,0,9.07e-05,0,0.0019438,0.0011161,0.0112897,0.0001197,0.0057235,0.0004002,0,0,8.41e-05,0.0023562,3.6e-05,0.0014018,0.0064632,0.0068182,0,7.26e-05,0.0025514,9.69e-05,0.0002987,1.62e-05,0.0093571,0,0.0139978,5.46e-05,0,1.79e-05,0.0002093,3.72e-05,0,0,0.0271556,0.0004974,0.0006273,0.0097984,0.0032733,0,0.0020814,0,0.0166713,0,0.0201176,6.26e-05,1.33e-05,0.0004446,0,0,0.0001261,0.0011874,0,0.0008816,0,0,0.0002032,0.0008614,4.57e-05,0,0,0.001096,0.0043711,0,0.0027024,0.0001607,0.0232824,3.23e-05,8.49e-05,0,4.4e-06,0.0121326,0.0028854,0.0144256,1.38e-05,0,0.0001627,0.0001276,3.75e-05,0,8.95e-05,0,0,0.0006439,0.0007583,9.82e-05,1.99e-05,0.0391964,0,0,0,0,0,6.27e-05,0,0,0,0,0,0,0,0.055806,0.0017116,2.51e-05,0,0,0.02458
"PRISM|7153",0,0,5.64e-05,0,0,0,0,0,2.81e-05,0,0,0,0.0027295,0.0001082,0.0004977,0,0,4.93e-05,0,0,0,0.107277,0,0.218051,0,0,0,0.0001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17e-05,0,0,0,0,0,0,0,0,1.03e-05,0,0.0004674,0.0009574,8.9e-06,0,0,0,0.0003613,0.00074,0.000352,0.0056292,0.0013478,0,0.0009912,0,4.16e-05,0.0010041,0.0003835,0,0,0.0098075,0.0008129,0.385641,0,8.74e-05,0.0083762,0,0.0017112,0,9.19e-05,0,0.0001329,0.0080567,0.0014676,0.0432725,0,0,0.001145,0.0339561,0,0,0.0002507,0,2.29e-05,0,0.001859,0.0003524,0.0005406,0.0001655,0.0001053,0,0.0005254,0,0.0090171,0.0084787,0,0.0038437,0.0060695,0,0.0028584,0,0,0.0009593,2.47e-05,0.0032427,0,0,0.0444685,0,0.0026967,0.0009193,0.0006279,0.0001372,0,0,0.0046009,0,0,0.0057588,0.0008419,0,0,4.56e-05,0.045466,0,0,0,0,0,3.23e-05,0,0.003092,0.0006542,0,0,0,0,0.00665,0.0011107,0,0,1.62e-05,7.3e-05
"PRISM|7184",0,0,2.59e-05,0,0,0,0,0,9.77e-05,0,0.0019697,0.0243928,0.0002912,0.0017205,0.0005973,7.4e-06,0,0.0001206,0,0,0,0.002043,0,0.0091959,2e-06,0.0047228,0.021823,0.0042856,0.0075451,0,0,0,0.0044601,0.0053481,0,0,0,0,0,0,0.0202092,0.0070981,0,0,1.06e-05,2.92e-05,0,0,3.41e-05,0,0,0,0.0006969,0,5.01e-05,0,0.0032552,0.0019559,0,5.69e-05,0,0,0,0,0.0097672,0.013027,0.0004655,0.0106822,0,0,0.0003992,0.008064,0.0002987,0.0008403,0,0.0399561,0.0284193,0.0002417,0,5.5e-06,0,0,0.0002124,0.0004133,0,0,0.0012766,0.0008606,0.0025278,0.0106548,0,0,0,0.0430486,0,0,0.0050272,7.88e-05,0.0001245,0,0,0.0041394,9.18e-05,0,3.5e-05,0,0,0,0.017217,0.0005005,0,0,0.0140143,0.0001538,0.0009288,0.0012717,0.0009569,0.102199,0.0051294,0.0952192,0,0,0.116156,0.0044621,0.0235076,0.0002237,5.93e-05,0.00011,9.96e-05,0,9.24e-05,0.000145,0,6.3e-05,0,0,0,5.18e-05,0.298395,0,0,0.0004681,0,2.7e-06,0,0,0,0,0.0020823,0.0044647,0.0010781,0,0.0003284,0.0003037,0,0,2.67e-05,0.0021296
"PRISM|7238",0,0,6.42e-05,0,0,0,0,0,0.16183,0,0,0,0,0,0,0,0,8.7e-05,0,0,0,0,0,0.0001379,0,0,0,0.282435,0,0,0,0,0.0288914,0,0.0584098,0,0,0,0,0,0,0,0,0,0.0007868,0.0003449,0.0018056,0.0005313,0.0002379,0.0018646,0.0821794,0.0122705,0.0008383,0.0008509,0,0.0023776,0.0008974,0.0004684,0,0.0003952,0.0003971,0,0,0,0.0763579,3.53e-05,0,0,0,0,0,0,0,0,0,0,0,0.0074842,0,0,0,0,0,0,0.0017311,0,0.0028402,0.0343265,3.65e-05,0.0028423,0,0,0,0,0.0003346,0,0,0.0141434,0,0,1.52e-05,0,0,0,0.0002432,0,0.0004762,0,0,0,0.0001259,0,0,0,0,0,0,0.0001414,0,0,0,0,0,0,0.0001011,0.0008606,0.0003522,0.0009759,0.0033271,0,0,0,0,0,0,0,0,1.02e-05,0.0001205,0,0.0001884,3.32e-05,0,0.106908,0,3.68e-05,0,0,0,0,0,0,0.0002977,0,0,0,3.8e-06,0.001365
"PRISM|7406",0,0.000521,1.2e-05,7e-07,0,0,0,0,0.0001285,0,0,2.61e-05,0,0,0,2.24e-05,9.4e-06,5.86e-05,0,4.8e-06,3e-06,0,5.6e-06,3.66e-05,5.21e-05,3e-06,0.0001102,9.27e-05,0,0,0,0,1.6e-06,2.57e-05,0,0,0,3.79e-05,0,0,1.3e-06,3.2e-05,0,0,0.0093207,0.0104399,0,0,0,0,0,0,0,0.0009371,0,0.0002597,0.0008427,0.0021847,0.0002434,0.0021629,0.0004927,0,0,0,0,0,0,0,0.130142,0,0,0,0,0,3.94e-05,0,0,0.0001639,5.3e-06,0,0,0,0,0,0,0,0,0.560321,1.05e-05,0.0163758,0,9.1e-06,0,9.7e-06,3.92e-05,1.36e-05,0,0,0,0,7e-07,0,0,0,0,0,0,0,2.1e-05,1.4e-06,1.67e-05,0,1.9e-06,0,0.0024991,0,0,0.0001725,0,2.47e-05,0,1.29e-05,0,0,0.0001086,8.6e-06,0,0,0,0,0,0,0,0,0,0,0,9.2e-06,7.4e-06,1.69e-05,0,8.29e-05,0.0027088,0.0003752,0.0261557,0,0,0,0,0,0,0,0.138515,0.0192184,0,2.78e-05,0,2.3e-05
"PRISM|7408",0,5.84e-05,2.53e-05,7.9e-06,1.19e-05,0,0,0,5.9e-05,0,0,0.0489601,0.0002469,0.0040322,7.78e-05,3.01e-05,0.0010425,0.0003558,0,1.24e-05,1.24e-05,0.0022501,0.0998566,0.162357,6.33e-05,0.0038041,0.0015946,0.0481726,0.004027,0,0,0.0053911,0.0384742,0.0054133,0,0.0018656,0.0050043,7.32e-05,0.0024123,0,0.0084292,0.0754191,0,0,0,0,0,0.0133533,0.0170707,6.5e-05,0,2.12e-05,0,0,0,0.0074431,0.0048501,0.0073647,6.37e-05,0.0024665,0.0107988,0.000342,0.0005988,0.0006955,0.0112664,0.0014643,0.0001756,0.0009932,3.4e-06,0.004487,3.1e-06,0.0021915,0.0003211,0.0004866,1.54e-05,0.0097522,0,0.0120746,1.65e-05,0,0,0,4.81e-05,3.03e-05,0.000764,0,0.0007089,0.0486179,0.0005747,0.0660652,0.0021584,0.0042109,0,1.39e-05,8.04e-05,0.005863,0.0026777,0.0054765,1.53e-05,5.62e-05,0.0003958,6.91e-05,9.3e-05,0.0036803,0.0004739,0,0.0072694,0,0.0066236,0.0047996,0,0.0017671,0.0016447,5.97e-05,0,0,0,0.0002856,1.05e-05,1.1e-05,0,2.4e-06,0.0386771,0.0009262,0.003848,0.0005802,0.000254,0,1.38e-05,0,0,0.0003516,0,0.0010958,0,0,0,1.22e-05,3.18e-05,0,0,2e-06,0,0.0002374,6.78e-05,0,0,0,0,0,0,0,0.0890323,0.0248786,0,4.26e-05,0,4.37e-05
"PRISM|7421",0,0.0001036,1.52e-05,0,0,0,0,0.0001568,3.22e-05,0,0,0,0.0063928,0.011347,0,0,0,4.32e-05,4.77e-05,0,0,0,0,0,0,0.0389299,0,0.0306048,0,0,0,0,0,0,7.72e-05,0,0,0,0,0,0,0,0,0,0,1.15e-05,0,3.53e-05,5.22e-05,0,8.8e-06,5.07e-05,0.0002893,0.0002576,8.52e-05,0.0001558,0.0028753,0.0334833,0.0003162,0.0367773,6.68e-05,0.0001494,0.000165,0.0002988,0.0003489,0.0004918,0.0012463,0.0376611,0.0042115,0,5.53e-05,5.73e-05,0.0001214,0.0012837,0.0063329,0.0016081,0,0.291207,0,0.0009274,0,0,0.0006817,0,7.18e-05,0,0.0009369,0.0120262,0.0001338,0.0040525,0,0,0.0081386,0.0291235,0,0,0.0038749,0,0.0019072,0,1.74e-05,0.0001787,0.0133848,0.0003692,0.0022122,0,0,0.0074959,0.0348389,0.0008376,0,0,0.0089038,2.32e-05,0.0007929,6.41e-05,6.73e-05,0.132732,0,0.0376164,0,0,0.0693753,0,0.007733,0.0004147,4.48e-05,4.08e-05,2.53e-05,0,0.0002005,0,0,0.0001478,0.0002789,4.15e-05,0,3.53e-05,0.106713,0,0,5.17e-05,9.7e-06,8.25e-05,0.0002876,0,0,0,0,0,0,0,0.0023141,0.0001875,0,0,1.16e-05,0.0001383
"PRISM|7445",0,0,0.0001061,0,0,0,0,0,0.0016724,0,0,0,0,4.05e-05,0,0.000257,0,0.0001192,0.0003616,0,0,0,0,0.0001205,0.0001296,3.32e-05,0.0005245,0.0007843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004141,0.0196046,0,0.0022989,0.0016039,0,0,0,0,0.0013949,0,2.07e-05,0.0024669,0.0015579,0,0.0162715,0.0009642,0,0,0,0.0098276,0.0276461,0,0,0,0,0.0028588,0,0,0.0006072,0,0,0,0.0014193,0,0,0,0,0.157742,0,0.0067143,0,0,0.0546121,0.0012487,0.0152084,0,0,0,1.92e-05,0,0.0082076,0.0088918,0.003573,0.0185128,0,7.06e-05,0.0153932,0.0318679,0.0005953,0,0,0.0108278,0,1.61e-05,0,0.0004277,0,0,0.0017115,0,0,0,0.0002187,0,9.72e-05,0,0,0,0,0.0708831,0.0019299,0.0323707,0.0018248,0,0,0,0.0005871,0,0,0,0,0,0.0008428,0.0003041,0,0,0.0011839,0,0,0,0,0.0011029,0.0047573,0,0,0,0,0.41103,0.0206805,0,0.0007668,7e-06,0.0007271
